case_id,date,zip_code,crime_type
136160,2025-09-01,14206,Drug Offense
193628,2025-09-01,14206,Theft
964305,2025-09-01,14206,Fraud
699908,2025-09-01,14206,Theft
245287,2025-09-01,14206,Drug Offense
182547,2025-09-01,14206,Vandalism
905531,2025-09-01,14210,Vandalism
119594,2025-09-01,14210,Vandalism
158747,2025-09-01,14210,Fraud
976254,2025-09-01,14210,Theft
519347,2025-09-01,14210,Burglary
456728,2025-09-01,14210,Theft
600750,2025-09-01,14210,Burglary
371598,2025-09-01,14203,Drug Offense
161564,2025-09-01,14203,Assault
333954,2025-09-01,14203,Drug Offense
706603,2025-09-01,14203,Drug Offense
788413,2025-09-01,14203,Theft
652712,2025-09-01,14203,Theft
313202,2025-09-01,14214,Burglary
620527,2025-09-01,14214,Theft
482742,2025-09-01,14214,Assault
963939,2025-09-01,14214,Vandalism
501789,2025-09-01,14214,Burglary
552512,2025-09-01,14214,Vandalism
168026,2025-09-01,14214,Fraud
124613,2025-09-01,14201,Fraud
419246,2025-09-01,14201,Fraud
504350,2025-09-01,14201,Vandalism
675189,2025-09-01,14201,Drug Offense
848807,2025-09-01,14216,Burglary
683242,2025-09-01,14216,Burglary
600474,2025-09-01,14216,Drug Offense
268179,2025-09-01,14216,Fraud
751710,2025-09-01,14220,Burglary
726365,2025-09-01,14220,Burglary
394002,2025-09-01,14220,Theft
849980,2025-09-01,14220,Vandalism
603481,2025-09-01,14220,Fraud
727307,2025-09-01,14220,Vandalism
888788,2025-09-01,14220,Vandalism
992468,2025-09-01,14213,Burglary
125066,2025-09-01,14213,Fraud
868905,2025-09-01,14213,Burglary
194699,2025-09-01,14213,Theft
287376,2025-09-01,14213,Burglary
127124,2025-09-01,14213,Vandalism
140575,2025-09-01,14213,Assault
648922,2025-09-01,14218,Fraud
701691,2025-09-01,14218,Assault
927028,2025-09-01,14218,Burglary
102560,2025-09-01,14212,Burglary
374465,2025-09-01,14212,Fraud
288522,2025-09-01,14212,Drug Offense
428890,2025-09-01,14212,Fraud
283126,2025-09-01,14212,Theft
532595,2025-09-01,14212,Theft
271377,2025-09-01,14212,Burglary
937859,2025-09-01,14207,Assault
601657,2025-09-01,14207,Theft
260882,2025-09-01,14207,Assault
187361,2025-09-01,14207,Assault
255709,2025-09-01,14207,Assault
395659,2025-09-01,14207,Fraud
461364,2025-09-01,14207,Fraud
